"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Monthly exchange rates"

"DESCRIPTION"
"Monthly average exchange rates - published by 16:30 ET on the last business day of each month. All Bank of Canada exchange rates are indicative rates only."

"SERIES"
"id","label","description"
"FXMAUDCAD","AUD/CAD","Australian dollar to Canadian dollar monthly exchange rate"
"FXMBRLCAD","BRL/CAD","Brazilian real to Canadian dollar monthly exchange rate"
"FXMCNYCAD","CNY/CAD","Chinese renminbi to Canadian dollar monthly exchange rate"
"FXMEURCAD","EUR/CAD","European euro to Canadian dollar monthly exchange rate"
"FXMHKDCAD","HKD/CAD","Hong Kong dollar to Canadian dollar monthly exchange rate"
"FXMINRCAD","INR/CAD","Indian rupee to Canadian dollar monthly exchange rate"
"FXMIDRCAD","IDR/CAD","Indonesian rupiah to Canadian dollar monthly exchange rate"
"FXMJPYCAD","JPY/CAD","Japanese yen to Canadian dollar monthly exchange rate"
"FXMMYRCAD","MYR/CAD","Malaysian ringgit to Canadian dollar monthly exchange rate"
"FXMMXNCAD","MXN/CAD","Mexican peso to Canadian dollar monthly exchange rate"
"FXMNZDCAD","NZD/CAD","New Zealand dollar to Canadian dollar monthly exchange rate"
"FXMNOKCAD","NOK/CAD","Norwegian krone to Canadian dollar monthly exchange rate"
"FXMPENCAD","PEN/CAD","Peruvian new sol to Canadian dollar monthly exchange rate"
"FXMRUBCAD","RUB/CAD","Russian ruble to Canadian dollar monthly exchange rate"
"FXMSARCAD","SAR/CAD","Saudi riyal to Canadian dollar monthly exchange rate"
"FXMSGDCAD","SGD/CAD","Singapore dollar to Canadian dollar monthly exchange rate"
"FXMZARCAD","ZAR/CAD","South African rand to Canadian dollar monthly exchange rate"
"FXMKRWCAD","KRW/CAD","South Korean won to Canadian dollar monthly exchange rate"
"FXMSEKCAD","SEK/CAD","Swedish krona to Canadian dollar monthly exchange rate"
"FXMCHFCAD","CHF/CAD","Swiss franc to Canadian dollar monthly exchange rate"
"FXMTWDCAD","TWD/CAD","Taiwanese dollar to Canadian dollar monthly exchange rate"
"FXMTHBCAD","THB/CAD","Thai baht to Canadian dollar monthly exchange rate"
"FXMTRYCAD","TRY/CAD","Turkish lira to Canadian dollar monthly exchange rate"
"FXMGBPCAD","GBP/CAD","UK pound sterling to Canadian dollar monthly exchange rate"
"FXMUSDCAD","USD/CAD","US dollar to Canadian dollar monthly exchange rate"
"FXMVNDCAD","VND/CAD","Vietnamese dong to Canadian dollar monthly exchange rate"

"OBSERVATIONS"
"date","FXMAUDCAD","FXMBRLCAD","FXMCNYCAD","FXMEURCAD","FXMHKDCAD","FXMINRCAD","FXMIDRCAD","FXMJPYCAD","FXMMYRCAD","FXMMXNCAD","FXMNZDCAD","FXMNOKCAD","FXMPENCAD","FXMRUBCAD","FXMSARCAD","FXMSGDCAD","FXMZARCAD","FXMKRWCAD","FXMSEKCAD","FXMCHFCAD","FXMTWDCAD","FXMTHBCAD","FXMTRYCAD","FXMGBPCAD","FXMUSDCAD","FXMVNDCAD"
"2017-01-01","0.9854","0.4133","0.1914","1.4028","0.1701","0.01938","0.000099","0.01149","0.2961","0.06165","0.9408","0.1559","0.3951","0.02207","0.3518","0.9241","0.09731","0.001118","0.1475","1.3093","0.04168","0.03723","0.3512","1.6289","1.3193","0.000058"
"2017-02-01","1.0045","0.4221","0.1907","1.3951","0.1689","0.01957","0.000098","0.01160","0.2951","0.06462","0.9472","0.1574","0.4020","0.02244","0.3495","0.9269","0.09937","0.001148","0.1472","1.3087","0.04247","0.03744","0.3577","1.6367","1.3107","0.000058"
"2017-03-01","1.0204","0.4280","0.1941","1.4307","0.1724","0.02034","0.000100","0.01186","0.3017","0.06942","0.9377","0.1573","0.4101","0.02313","0.3569","0.9527","0.1036","0.001181","0.1501","1.3362","0.04369","0.03839","0.3646","1.6524","1.3386","0.000059"
"2017-04-01","1.0121","0.4283","0.1951","1.4406","0.1729","0.02082","0.000101","0.01220","0.3052","0.07161","0.9364","0.1565","0.4138","0.02378","0.3584","0.9610","0.09990","0.001184","0.1501","1.3431","0.04424","0.03899","0.3681","1.6994","1.3440","0.000059"
"2017-05-01","1.0116","0.4250","0.1976","1.5029","0.1747","0.02112","0.000102","0.01212","0.3152","0.07251","0.9455","0.1599","0.4158","0.02383","0.3628","0.9753","0.1026","0.001208","0.1549","1.3787","0.04512","0.03949","0.3816","1.7580","1.3607","0.000060"
"2017-06-01","1.0053","0.4036","0.1953","1.4940","0.1705","0.02063","0.000100","0.01199","0.3109","0.07333","0.9614","0.1572","0.4072","0.02293","0.3546","0.9611","0.1031","0.001175","0.1532","1.3738","0.04393","0.03912","0.3778","1.7030","1.3298","0.000058"
"2017-07-01","0.9902","0.3966","0.1874","1.4628","0.1625","0.01969","0.000095","0.01129","0.2958","0.07127","0.9337","0.1558","0.3905","0.02125","0.3383","0.9257","0.09651","0.001120","0.1526","1.3212","0.04174","0.03763","0.3563","1.6488","1.2689","0.000056"
"2017-08-01","0.9977","0.4000","0.1891","1.4890","0.1612","0.01970","0.000094","0.01148","0.2943","0.07082","0.9202","0.1598","0.3889","0.02122","0.3361","0.9263","0.09528","0.001114","0.1560","1.3061","0.04169","0.03791","0.3596","1.6324","1.2605","0.000055"
"2017-09-01","0.9790","0.3921","0.1869","1.4630","0.1572","0.01905","0.000092","0.01108","0.2917","0.06888","0.8912","0.1567","0.3784","0.02130","0.3275","0.9100","0.09324","0.001084","0.1533","1.2756","0.04074","0.03705","0.3534","1.6383","1.2283","0.000054"
"2017-10-01","0.9814","0.3948","0.1902","1.4816","0.1615","0.01938","0.000093","0.01116","0.2980","0.06697","0.8871","0.1576","0.3878","0.02184","0.3361","0.9269","0.09199","0.001113","0.1541","1.2832","0.04165","0.03794","0.3427","1.6638","1.2605","0.000055"
"2017-11-01","0.9733","0.3917","0.1929","1.5000","0.1636","0.01970","0.000094","0.01133","0.3065","0.06752","0.8794","0.1559","0.3939","0.02166","0.3405","0.9423","0.09097","0.001160","0.1523","1.2883","0.04244","0.03882","0.3280","1.6893","1.2769","0.000056"
"2017-12-01","0.9760","0.3878","0.1936","1.5111","0.1635","0.01987","0.000094","0.01131","0.3132","0.06672","0.8891","0.1535","0.3933","0.02177","0.3405","0.9484","0.09730","0.001178","0.1521","1.2934","0.04262","0.03913","0.3325","1.7118","1.2771","0.000056"
